precision,recall,f1,hub_recovery,kendall_tau,N,T,T_N,trial,dgp,method
0.19469026548672566,0.4888888888888889,0.27848101265822783,0.2,0.15677236033392408,30,250,8.33,6,VAR1,OLS
0.5,0.2222222222222222,0.3076923076923077,0.0,0.2815573955158077,30,250,8.33,6,VAR1,LASSO
0.2631578947368421,0.17045454545454544,0.20689655172413793,0.6,0.14798075400993155,30,250,8.33,6,VAR2,OLS
0.75,0.03409090909090909,0.06521739130434782,0.6,0.4035198343658443,30,250,8.33,6,VAR2,LASSO
0.17647058823529413,0.4,0.24489795918367346,0.2,0.07118838890648665,30,250,8.33,7,VAR1,OLS
0.6,0.2,0.3,0.2,0.15127892767838677,30,250,8.33,7,VAR1,LASSO
0.32608695652173914,0.16853932584269662,0.2222222222222222,0.2,0.12041232845820796,30,250,8.33,7,VAR2,OLS
0.8,0.0449438202247191,0.0851063829787234,0.4,0.3143730417143384,30,250,8.33,7,VAR2,LASSO
0.13658536585365855,0.224,0.1696969696969697,0.2,0.1753607067481449,50,120,2.4,0,VAR1,OLS
0.75,0.072,0.13138686131386862,0.2,0.34984470944447116,50,120,2.4,0,VAR1,LASSO
0.23684210526315788,0.11203319502074689,0.15211267605633802,0.2,0.0028799076969816097,50,120,2.4,0,VAR2,OLS
0.4,0.008298755186721992,0.016260162601626018,0.0,-0.03265476132920677,50,120,2.4,0,VAR2,LASSO
0.15018315018315018,0.328,0.20603015075376885,0.4,0.0328550725145397,50,120,2.4,1,VAR1,OLS
0.5,0.064,0.11347517730496454,0.0,0.18925724756784368,50,120,2.4,1,VAR1,LASSO
0.12931034482758622,0.06147540983606557,0.08333333333333333,0.0,0.03087571296415711,50,120,2.4,1,VAR2,OLS
0.0,0.0,0.0,0.0,-0.1354486875457507,50,120,2.4,1,VAR2,LASSO
0.1722488038277512,0.288,0.2155688622754491,0.4,0.2262905302194177,50,120,2.4,2,VAR1,OLS
0.6363636363636364,0.112,0.19047619047619047,0.4,0.17523645493718729,50,120,2.4,2,VAR1,LASSO
0.21568627450980393,0.13524590163934427,0.16624685138539042,0.2,0.0009537617705435079,50,120,2.4,2,VAR2,OLS
0.8,0.01639344262295082,0.0321285140562249,0.0,-0.1703572431999586,50,120,2.4,2,VAR2,LASSO
0.17796610169491525,0.336,0.23268698060941828,0.6,0.2556456792396401,50,120,2.4,3,VAR1,OLS
0.43478260869565216,0.08,0.13513513513513514,0.2,0.07941731042000251,50,120,2.4,3,VAR1,LASSO
0.16778523489932887,0.10330578512396695,0.1278772378516624,0.4,0.07904783414405904,50,120,2.4,3,VAR2,OLS
0.0,0.0,0.0,0.4,-0.2738167384258723,50,120,2.4,3,VAR2,LASSO
0.17010309278350516,0.264,0.20689655172413793,0.0,0.12923060457621302,50,120,2.4,4,VAR1,OLS
0.3888888888888889,0.056,0.0979020979020979,0.2,0.23267080289092304,50,120,2.4,4,VAR1,LASSO
0.19047619047619047,0.09917355371900827,0.13043478260869565,0.2,0.21988661118878094,50,120,2.4,4,VAR2,OLS
0.5,0.008264462809917356,0.016260162601626018,0.2,0.17121250297758434,50,120,2.4,4,VAR2,LASSO
0.1774891774891775,0.328,0.2303370786516854,0.2,0.03160471090733287,50,120,2.4,5,VAR1,OLS
0.5238095238095238,0.088,0.1506849315068493,0.2,0.22693929817188732,50,120,2.4,5,VAR1,LASSO
0.24,0.12295081967213115,0.16260162601626016,0.2,0.12606951092238108,50,120,2.4,5,VAR2,OLS
0.4444444444444444,0.01639344262295082,0.03162055335968379,0.0,0.05908580644613888,50,120,2.4,5,VAR2,LASSO
0.21428571428571427,0.312,0.254071661237785,0.2,0.0966332425174528,50,120,2.4,6,VAR1,OLS
0.6818181818181818,0.12,0.20408163265306123,0.4,0.16872098661374105,50,120,2.4,6,VAR1,LASSO
0.2196969696969697,0.12033195020746888,0.1554959785522788,0.2,0.06948789309249478,50,120,2.4,6,VAR2,OLS
0.125,0.004149377593360996,0.008032128514056224,0.0,0.13456272635513683,50,120,2.4,6,VAR2,LASSO
0.1169811320754717,0.248,0.15897435897435896,0.0,0.1520953966235661,50,120,2.4,7,VAR1,OLS
0.42105263157894735,0.064,0.1111111111111111,0.4,0.119314342072608,50,120,2.4,7,VAR1,LASSO
0.12408759124087591,0.06910569105691057,0.08877284595300261,0.0,-0.10745523623862906,50,120,2.4,7,VAR2,OLS
0.16666666666666666,0.0040650406504065045,0.007936507936507936,0.2,0.03393328487856796,50,120,2.4,7,VAR2,LASSO
0.16666666666666666,0.632,0.2637729549248748,0.2,0.3280661317456815,50,500,10.0,0,VAR1,OLS
0.8421052631578947,0.384,0.5274725274725275,0.2,0.35126606025520957,50,500,10.0,0,VAR1,LASSO
0.37341772151898733,0.24481327800829875,0.2957393483709273,0.2,-0.013339923249666593,50,500,10.0,0,VAR2,OLS
