dgp,N,T,T_N,trial,method,precision,recall,f1,hub_recovery,net_density
gaussian,20,12,0.6,53,OLS,0.10714285714285714,0.15,0.125,0.2,0.07368421052631578
gaussian,20,12,0.6,53,LASSO,0.15384615384615385,0.1,0.12121212121212122,0.2,0.034210526315789476
gaussian,20,12,0.6,54,OLS,0.05405405405405406,0.1,0.07017543859649122,0.4,0.09736842105263158
gaussian,20,12,0.6,54,LASSO,0.07692307692307693,0.05,0.06060606060606061,0.4,0.034210526315789476
gaussian,20,12,0.6,55,OLS,0.10344827586206896,0.15,0.12244897959183673,0.4,0.07631578947368421
gaussian,20,12,0.6,55,LASSO,0.17857142857142858,0.25,0.20833333333333334,0.2,0.07368421052631578
gaussian,20,12,0.6,56,OLS,0.09375,0.15,0.11538461538461539,0.0,0.08421052631578947
gaussian,20,12,0.6,56,LASSO,0.1111111111111111,0.05,0.06896551724137931,0.2,0.02368421052631579
gaussian,20,12,0.6,57,OLS,0.058823529411764705,0.1,0.07407407407407407,0.0,0.08947368421052632
gaussian,20,12,0.6,57,LASSO,0.0,0.0,0.0,0.4,0.042105263157894736
gaussian,20,12,0.6,58,OLS,0.037037037037037035,0.05,0.0425531914893617,0.2,0.07105263157894737
gaussian,20,12,0.6,58,LASSO,0.0,0.0,0.0,0.0,0.02894736842105263
gaussian,20,12,0.6,59,OLS,0.11428571428571428,0.2,0.14545454545454545,0.6,0.09210526315789473
gaussian,20,12,0.6,59,LASSO,0.08333333333333333,0.05,0.0625,0.4,0.031578947368421054
gaussian,20,12,0.6,60,OLS,0.03125,0.05,0.038461538461538464,0.2,0.08421052631578947
gaussian,20,12,0.6,60,LASSO,0.1,0.05,0.06666666666666667,0.4,0.02631578947368421
gaussian,20,12,0.6,61,OLS,0.02564102564102564,0.05,0.03389830508474576,0.2,0.10263157894736842
gaussian,20,12,0.6,61,LASSO,0.0,0.0,0.0,0.4,0.042105263157894736
gaussian,20,12,0.6,62,OLS,0.023255813953488372,0.05,0.031746031746031744,0.4,0.11315789473684211
gaussian,20,12,0.6,62,LASSO,0.058823529411764705,0.05,0.05405405405405406,0.2,0.04473684210526316
gaussian,20,12,0.6,63,OLS,0.027777777777777776,0.05,0.03571428571428571,0.0,0.09473684210526316
gaussian,20,12,0.6,63,LASSO,0.06666666666666667,0.05,0.05714285714285714,0.0,0.039473684210526314
gaussian,20,12,0.6,64,OLS,0.12903225806451613,0.2,0.1568627450980392,0.2,0.08157894736842106
gaussian,20,12,0.6,64,LASSO,0.15384615384615385,0.1,0.12121212121212122,0.0,0.034210526315789476
gaussian,20,12,0.6,65,OLS,0.04,0.05,0.044444444444444446,0.6,0.06578947368421052
gaussian,20,12,0.6,65,LASSO,0.058823529411764705,0.05,0.05405405405405406,0.2,0.04473684210526316
gaussian,20,12,0.6,66,OLS,0.0,0.0,0.0,0.8,0.06842105263157895
gaussian,20,12,0.6,66,LASSO,0.0,0.0,0.0,0.2,0.02631578947368421
gaussian,20,12,0.6,67,OLS,0.03125,0.05,0.038461538461538464,0.2,0.08421052631578947
gaussian,20,12,0.6,67,LASSO,0.05263157894736842,0.05,0.05128205128205128,0.0,0.05
gaussian,20,12,0.6,68,OLS,0.08333333333333333,0.1,0.09090909090909091,0.2,0.06315789473684211
gaussian,20,12,0.6,68,LASSO,0.0,0.0,0.0,0.4,0.05
gaussian,20,12,0.6,69,OLS,0.022727272727272728,0.05,0.03125,0.2,0.11578947368421053
gaussian,20,12,0.6,69,LASSO,0.0,0.0,0.0,0.4,0.02631578947368421
gaussian,20,12,0.6,70,OLS,0.06451612903225806,0.1,0.0784313725490196,0.2,0.08157894736842106
gaussian,20,12,0.6,70,LASSO,0.125,0.1,0.1111111111111111,0.4,0.042105263157894736
gaussian,20,12,0.6,71,OLS,0.0,0.0,0.0,0.2,0.08157894736842106
gaussian,20,12,0.6,71,LASSO,0.09090909090909091,0.05,0.06451612903225806,0.4,0.02894736842105263
gaussian,20,12,0.6,72,OLS,0.058823529411764705,0.1,0.07407407407407407,0.6,0.08947368421052632
gaussian,20,12,0.6,72,LASSO,0.0,0.0,0.0,0.4,0.02631578947368421
gaussian,20,12,0.6,73,OLS,0.0,0.0,0.0,0.0,0.08947368421052632
gaussian,20,12,0.6,73,LASSO,0.07142857142857142,0.05,0.058823529411764705,0.0,0.03684210526315789
gaussian,20,12,0.6,74,OLS,0.027777777777777776,0.05,0.03571428571428571,0.4,0.09473684210526316
gaussian,20,12,0.6,74,LASSO,0.0,0.0,0.0,0.2,0.04473684210526316
gaussian,20,12,0.6,75,OLS,0.09090909090909091,0.15,0.11320754716981132,0.2,0.0868421052631579
gaussian,20,12,0.6,75,LASSO,0.07692307692307693,0.05,0.06060606060606061,0.2,0.034210526315789476
gaussian,20,12,0.6,76,OLS,0.09090909090909091,0.1,0.09523809523809523,0.2,0.05789473684210526
gaussian,20,12,0.6,76,LASSO,0.0,0.0,0.0,0.0,0.02631578947368421
gaussian,20,12,0.6,77,OLS,0.07692307692307693,0.1,0.08695652173913043,0.4,0.06842105263157895
gaussian,20,12,0.6,77,LASSO,0.0,0.0,0.0,0.4,0.02368421052631579
gaussian,20,12,0.6,78,OLS,0.043478260869565216,0.05,0.046511627906976744,0.4,0.060526315789473685
gaussian,20,12,0.6,78,LASSO,0.07142857142857142,0.05,0.058823529411764705,0.2,0.03684210526315789
gaussian,20,12,0.6,79,OLS,0.0,0.0,0.0,0.4,0.0868421052631579
gaussian,20,12,0.6,79,LASSO,0.0,0.0,0.0,0.4,0.039473684210526314
gaussian,20,12,0.6,80,OLS,0.0,0.0,0.0,0.4,0.05526315789473684
gaussian,20,12,0.6,80,LASSO,0.0,0.0,0.0,0.2,0.02631578947368421
gaussian,20,12,0.6,81,OLS,0.07142857142857142,0.1,0.08333333333333333,0.4,0.07368421052631578
gaussian,20,12,0.6,81,LASSO,0.0,0.0,0.0,0.2,0.03684210526315789
gaussian,20,12,0.6,82,OLS,0.029411764705882353,0.05,0.037037037037037035,0.2,0.08947368421052632
gaussian,20,12,0.6,82,LASSO,0.07142857142857142,0.05,0.058823529411764705,0.2,0.03684210526315789
gaussian,20,12,0.6,83,OLS,0.037037037037037035,0.05,0.0425531914893617,0.4,0.07105263157894737
gaussian,20,12,0.6,83,LASSO,0.0,0.0,0.0,0.0,0.02368421052631579
gaussian,20,12,0.6,84,OLS,0.09375,0.15,0.11538461538461539,0.4,0.08421052631578947
gaussian,20,12,0.6,84,LASSO,0.15384615384615385,0.1,0.12121212121212122,0.2,0.034210526315789476
gaussian,20,12,0.6,85,OLS,0.08333333333333333,0.1,0.09090909090909091,0.2,0.06315789473684211
gaussian,20,12,0.6,85,LASSO,0.0,0.0,0.0,0.2,0.015789473684210527
gaussian,20,12,0.6,86,OLS,0.0625,0.1,0.07692307692307693,0.0,0.08421052631578947
gaussian,20,12,0.6,86,LASSO,0.16666666666666666,0.1,0.125,0.4,0.031578947368421054
gaussian,20,12,0.6,87,OLS,0.12903225806451613,0.2,0.1568627450980392,0.0,0.08157894736842106
gaussian,20,12,0.6,87,LASSO,0.15384615384615385,0.1,0.12121212121212122,0.2,0.034210526315789476
gaussian,20,12,0.6,88,OLS,0.05,0.05,0.05,0.2,0.05263157894736842
gaussian,20,12,0.6,88,LASSO,0.0625,0.05,0.05555555555555555,0.4,0.042105263157894736
gaussian,20,12,0.6,89,OLS,0.03333333333333333,0.05,0.04,0.4,0.07894736842105263
gaussian,20,12,0.6,89,LASSO,0.0,0.0,0.0,0.2,0.05789473684210526
gaussian,20,12,0.6,90,OLS,0.06451612903225806,0.1,0.0784313725490196,0.4,0.08157894736842106
gaussian,20,12,0.6,90,LASSO,0.06666666666666667,0.05,0.05714285714285714,0.2,0.039473684210526314
gaussian,20,12,0.6,91,OLS,0.038461538461538464,0.05,0.043478260869565216,0.2,0.06842105263157895
gaussian,20,12,0.6,91,LASSO,0.058823529411764705,0.05,0.05405405405405406,0.2,0.04473684210526316
gaussian,20,12,0.6,92,OLS,0.041666666666666664,0.05,0.045454545454545456,0.2,0.06315789473684211
gaussian,20,12,0.6,92,LASSO,0.09090909090909091,0.05,0.06451612903225806,0.4,0.02894736842105263
gaussian,20,12,0.6,93,OLS,0.06666666666666667,0.1,0.08,0.2,0.07894736842105263
gaussian,20,12,0.6,93,LASSO,0.07692307692307693,0.05,0.06060606060606061,0.6,0.034210526315789476
gaussian,20,12,0.6,94,OLS,0.0,0.0,0.0,0.0,0.08157894736842106
gaussian,20,12,0.6,94,LASSO,0.0,0.0,0.0,0.2,0.039473684210526314
gaussian,20,12,0.6,95,OLS,0.05714285714285714,0.1,0.07272727272727272,0.4,0.09210526315789473
gaussian,20,12,0.6,95,LASSO,0.10526315789473684,0.1,0.10256410256410256,0.2,0.05
gaussian,20,12,0.6,96,OLS,0.08333333333333333,0.15,0.10714285714285714,0.0,0.09473684210526316
gaussian,20,12,0.6,96,LASSO,0.06666666666666667,0.05,0.05714285714285714,0.2,0.039473684210526314
gaussian,20,12,0.6,97,OLS,0.0,0.0,0.0,0.4,0.06842105263157895
gaussian,20,12,0.6,97,LASSO,0.0,0.0,0.0,0.0,0.04473684210526316
gaussian,20,12,0.6,98,OLS,0.037037037037037035,0.05,0.0425531914893617,0.0,0.07105263157894737
gaussian,20,12,0.6,98,LASSO,0.0,0.0,0.0,0.0,0.04736842105263158
gaussian,20,12,0.6,99,OLS,0.02857142857142857,0.05,0.03636363636363636,0.4,0.09210526315789473
gaussian,20,12,0.6,99,LASSO,0.06666666666666667,0.05,0.05714285714285714,0.6,0.039473684210526314
gaussian,20,20,1.0,0,OLS,0.0,0.0,0.0,0.0,0.05
gaussian,20,20,1.0,0,LASSO,0.0,0.0,0.0,0.0,0.021052631578947368
gaussian,20,20,1.0,1,OLS,0.041666666666666664,0.05,0.045454545454545456,0.4,0.06315789473684211
gaussian,20,20,1.0,1,LASSO,0.16666666666666666,0.05,0.07692307692307693,0.4,0.015789473684210527
gaussian,20,20,1.0,2,OLS,0.0,0.0,0.0,0.2,0.042105263157894736
gaussian,20,20,1.0,2,LASSO,0.0,0.0,0.0,0.2,0.018421052631578946
gaussian,20,20,1.0,3,OLS,0.0,0.0,0.0,0.2,0.07368421052631578
gaussian,20,20,1.0,3,LASSO,0.0,0.0,0.0,0.2,0.021052631578947368
gaussian,20,20,1.0,4,OLS,0.1,0.1,0.1,0.4,0.05263157894736842
gaussian,20,20,1.0,4,LASSO,0.0,0.0,0.0,0.2,0.021052631578947368
gaussian,20,20,1.0,5,OLS,0.12,0.15,0.13333333333333333,0.4,0.06578947368421052
gaussian,20,20,1.0,5,LASSO,0.0,0.0,0.0,0.4,0.02894736842105263
gaussian,20,20,1.0,6,OLS,0.07407407407407407,0.1,0.0851063829787234,0.8,0.07105263157894737
gaussian,20,20,1.0,6,LASSO,0.14285714285714285,0.05,0.07407407407407407,0.4,0.018421052631578946
gaussian,20,20,1.0,7,OLS,0.125,0.1,0.1111111111111111,0.0,0.042105263157894736
gaussian,20,20,1.0,7,LASSO,0.0,0.0,0.0,0.4,0.015789473684210527
gaussian,20,20,1.0,8,OLS,0.0967741935483871,0.15,0.11764705882352941,0.2,0.08157894736842106
gaussian,20,20,1.0,8,LASSO,0.09090909090909091,0.05,0.06451612903225806,0.2,0.02894736842105263
