method,f1,precision,recall,hub_recovery,density_pred,N,T,trial,T_N_ratio,dgp
OLS-TE,0.14719626168224298,0.08618331053351573,0.504,0.0,0.29535353535353537,100,500,1,5.0,factor_only
LASSO-TE,0.07662835249042145,0.9090909090909091,0.04,0.2,0.0022222222222222222,100,500,2,5.0,factor_only
OLS-TE,0.17356551527262346,0.10123210123210123,0.608,0.6,0.30333333333333334,100,500,2,5.0,factor_only
LASSO-TE,0.0856610800744879,0.6216216216216216,0.046,0.0,0.0037373737373737376,100,500,3,5.0,factor_only
OLS-TE,0.15388935692221287,0.08951323097027115,0.548,0.0,0.3091919191919192,100,500,3,5.0,factor_only
LASSO-TE,0.06095238095238095,0.64,0.032,0.0,0.0025252525252525255,100,500,4,5.0,factor_only
OLS-TE,0.149708899362351,0.08690054715159318,0.54,0.0,0.31383838383838386,100,500,4,5.0,factor_only
LASSO-TE,0.5480631276901005,0.9695431472081218,0.382,0.2,0.0198989898989899,100,500,0,5.0,garch_factor
OLS-TE,0.1694144400227402,0.09874088800530152,0.596,0.0,0.30484848484848487,100,500,0,5.0,garch_factor
LASSO-TE,0.5110132158590308,0.9613259668508287,0.348,0.0,0.018282828282828283,100,500,1,5.0,garch_factor
OLS-TE,0.2082758620689655,0.12583333333333332,0.604,0.2,0.24242424242424243,100,500,1,5.0,garch_factor
LASSO-TE,0.5102639296187683,0.9560439560439561,0.348,0.6,0.018383838383838384,100,500,2,5.0,garch_factor
OLS-TE,0.18958772193800782,0.11158342189160468,0.63,0.2,0.28515151515151516,100,500,2,5.0,garch_factor
LASSO-TE,0.46795827123695977,0.9181286549707602,0.314,0.2,0.017272727272727273,100,500,3,5.0,garch_factor
OLS-TE,0.1853099730458221,0.11142625607779579,0.55,0.0,0.2492929292929293,100,500,3,5.0,garch_factor
LASSO-TE,0.5563480741797432,0.9701492537313433,0.39,0.8,0.020303030303030302,100,500,4,5.0,garch_factor
OLS-TE,0.1954355512696882,0.11643048640367676,0.608,0.4,0.2637373737373737,100,500,4,5.0,garch_factor
