method,f1,precision,recall,hub_recovery,density_pred,N,T,trial,T_N_ratio,dgp
OLS-TE,0.183206106870229,0.13953488372093023,0.26666666666666666,0.2,0.09885057471264368,30,120,2,4.0,garch_factor
LASSO-TE,0.1509433962264151,0.5,0.08888888888888889,0.6,0.009195402298850575,30,120,3,4.0,garch_factor
OLS-TE,0.22807017543859648,0.18840579710144928,0.28888888888888886,0.6,0.07931034482758621,30,120,3,4.0,garch_factor
LASSO-TE,0.21428571428571427,0.5454545454545454,0.13333333333333333,0.2,0.01264367816091954,30,120,4,4.0,garch_factor
OLS-TE,0.22916666666666666,0.21568627450980393,0.24444444444444444,0.2,0.05862068965517241,30,120,4,4.0,garch_factor
LASSO-TE,0.04081632653061224,0.25,0.022222222222222223,0.2,0.004597701149425287,30,250,0,8.333333333333334,gaussian
OLS-TE,0.24242424242424243,0.2222222222222222,0.26666666666666666,0.4,0.06206896551724138,30,250,0,8.333333333333334,gaussian
LASSO-TE,0.125,1.0,0.06666666666666667,0.0,0.0034482758620689655,30,250,1,8.333333333333334,gaussian
OLS-TE,0.29473684210526313,0.28,0.3111111111111111,0.0,0.05747126436781609,30,250,1,8.333333333333334,gaussian
LASSO-TE,0.16326530612244897,1.0,0.08888888888888889,0.2,0.004597701149425287,30,250,2,8.333333333333334,gaussian
OLS-TE,0.25806451612903225,0.25,0.26666666666666666,0.2,0.05517241379310345,30,250,2,8.333333333333334,gaussian
LASSO-TE,0.1568627450980392,0.6666666666666666,0.08888888888888889,0.0,0.006896551724137931,30,250,3,8.333333333333334,gaussian
OLS-TE,0.3829787234042553,0.3673469387755102,0.4,0.2,0.05632183908045977,30,250,3,8.333333333333334,gaussian
LASSO-TE,0.1568627450980392,0.6666666666666666,0.08888888888888889,0.8,0.006896551724137931,30,250,4,8.333333333333334,gaussian
OLS-TE,0.30612244897959184,0.2830188679245283,0.3333333333333333,0.2,0.06091954022988506,30,250,4,8.333333333333334,gaussian
LASSO-TE,0.24242424242424243,0.38095238095238093,0.17777777777777778,0.4,0.02413793103448276,30,250,0,8.333333333333334,garch_only
OLS-TE,0.2236842105263158,0.1588785046728972,0.37777777777777777,0.4,0.12298850574712644,30,250,0,8.333333333333334,garch_only
