precision,recall,f1,hub_recovery,kendall_tau,density_true,density_pred,N,T,T_N,trial,dgp,method
0.725,0.232,0.3515151515151515,0.2,0.2656177632542295,0.05102040816326531,0.0163265306122449,50,250,5.0,6,linear,LASSO
0.4321608040201005,0.35390946502057613,0.3891402714932127,0.4,0.33387230169793347,0.09918367346938775,0.08122448979591837,50,250,5.0,6,threshold,OLS
0.8484848484848485,0.11522633744855967,0.2028985507246377,0.0,0.02435751393923802,0.09918367346938775,0.013469387755102041,50,250,5.0,6,threshold,LASSO
0.16470588235294117,0.448,0.24086021505376345,0.4,0.23815685331652156,0.05102040816326531,0.13877551020408163,50,250,5.0,7,linear,OLS
0.7837837837837838,0.232,0.35802469135802467,0.4,0.3412543896869851,0.05102040816326531,0.015102040816326531,50,250,5.0,7,linear,LASSO
0.43157894736842106,0.3416666666666667,0.3813953488372093,0.4,0.16993066773005505,0.09795918367346938,0.07755102040816327,50,250,5.0,7,threshold,OLS
0.9047619047619048,0.07916666666666666,0.14559386973180077,0.2,0.08890176235171038,0.09795918367346938,0.008571428571428572,50,250,5.0,7,threshold,LASSO
0.11095204008589836,0.62,0.18822100789313903,0.0,0.26280223597067986,0.050505050505050504,0.2822222222222222,100,500,5.0,0,linear,OLS
0.9567567567567568,0.354,0.5167883211678832,0.4,0.3070685330091675,0.050505050505050504,0.018686868686868686,100,500,5.0,0,linear,LASSO
0.5017502917152858,0.4383282364933741,0.46789989118607184,0.0,0.18196593490021676,0.09909090909090909,0.08656565656565657,100,500,5.0,0,threshold,OLS
1.0,0.09276248725790011,0.16977611940298507,0.0,-0.05141818303908517,0.09909090909090909,0.009191919191919192,100,500,5.0,0,threshold,LASSO
0.10723281756027347,0.596,0.18176273254040867,0.0,0.169437750683413,0.050505050505050504,0.2807070707070707,100,500,5.0,1,linear,OLS
0.9617224880382775,0.402,0.5669957686882934,0.2,0.22719136171454918,0.050505050505050504,0.021111111111111112,100,500,5.0,1,linear,LASSO
0.4831081081081081,0.44,0.4605475040257649,0.2,0.27059878210015337,0.09848484848484848,0.08969696969696969,100,500,5.0,1,threshold,OLS
0.9895833333333334,0.09743589743589744,0.17740429505135388,0.0,-0.06158577715219848,0.09848484848484848,0.009696969696969697,100,500,5.0,1,threshold,LASSO
0.10672853828306264,0.644,0.1831106056297981,0.0,0.07466173187525514,0.050505050505050504,0.30474747474747477,100,500,5.0,2,linear,OLS
0.91,0.364,0.52,0.0,0.2231897512420091,0.050505050505050504,0.020202020202020204,100,500,5.0,2,linear,LASSO
0.5117647058823529,0.4461538461538462,0.4767123287671233,0.4,0.2201971238828096,0.09848484848484848,0.08585858585858586,100,500,5.0,2,threshold,OLS
0.9893617021276596,0.09538461538461539,0.17399438727782976,0.0,-0.15059143053911603,0.09848484848484848,0.009494949494949495,100,500,5.0,2,threshold,LASSO
0.12949328713728886,0.598,0.2128871484514062,0.0,0.17467518929863263,0.050505050505050504,0.23323232323232324,100,500,5.0,3,linear,OLS
0.9520958083832335,0.318,0.4767616191904048,0.2,0.19858783754605877,0.050505050505050504,0.01686868686868687,100,500,5.0,3,linear,LASSO
0.5349127182044888,0.44135802469135804,0.4836527621195039,0.2,0.45910725588588225,0.09818181818181818,0.081010101010101,100,500,5.0,3,threshold,OLS
0.9883720930232558,0.0874485596707819,0.16068052930056712,0.0,-0.18362245398313992,0.09818181818181818,0.008686868686868687,100,500,5.0,3,threshold,LASSO
0.11078177102630604,0.598,0.1869334166927165,0.2,0.08874799688698155,0.050505050505050504,0.2726262626262626,100,500,5.0,4,linear,OLS
0.9520958083832335,0.318,0.4767616191904048,0.0,0.2883242870805387,0.050505050505050504,0.01686868686868687,100,500,5.0,4,linear,LASSO
0.5070588235294118,0.442051282051282,0.4723287671232877,0.0,0.42625926211695964,0.09848484848484848,0.08585858585858586,100,500,5.0,4,threshold,OLS
1.0,0.07692307692307693,0.14285714285714285,0.0,-0.03659703051395077,0.09848484848484848,0.007575757575757576,100,500,5.0,4,threshold,LASSO
0.12787169484178587,0.59,0.2101888136800855,0.0,0.09678547692758438,0.050505050505050504,0.23303030303030303,100,500,5.0,5,linear,OLS
0.9490445859872612,0.298,0.4535768645357686,0.2,0.0675247452013254,0.050505050505050504,0.01585858585858586,100,500,5.0,5,linear,LASSO
0.4843205574912892,0.42507645259938837,0.4527687296416938,0.0,0.28411660433182173,0.09909090909090909,0.08696969696969697,100,500,5.0,5,threshold,OLS
0.9871794871794872,0.07849133537206932,0.14542020774315392,0.0,-0.04017984244369061,0.09909090909090909,0.00787878787878788,100,500,5.0,5,threshold,LASSO
0.07726558407543216,0.59,0.13663733209819362,0.0,0.03902168829475016,0.050505050505050504,0.38565656565656564,100,500,5.0,6,linear,OLS
0.8433734939759037,0.42,0.5607476635514018,0.4,0.2834817986640489,0.050505050505050504,0.02515151515151515,100,500,5.0,6,linear,LASSO
0.4982497082847141,0.4352701325178389,0.4646354733405876,0.2,0.32552115591992536,0.09909090909090909,0.08656565656565657,100,500,5.0,6,threshold,OLS
1.0,0.07951070336391437,0.14730878186968838,0.0,-0.24227777517201324,0.09909090909090909,0.00787878787878788,100,500,5.0,6,threshold,LASSO
0.09752066115702479,0.59,0.1673758865248227,0.0,0.06681187656776191,0.050505050505050504,0.3055555555555556,100,500,5.0,7,linear,OLS
0.9595959595959596,0.38,0.5444126074498568,0.2,0.30690760730988714,0.050505050505050504,0.02,100,500,5.0,7,linear,LASSO
0.4954337899543379,0.44240570846075433,0.4674205708131395,0.0,0.21688889424417027,0.09909090909090909,0.08848484848484849,100,500,5.0,7,threshold,OLS
0.9882352941176471,0.0856269113149847,0.1575984990619137,0.0,-0.10447120537722958,0.09909090909090909,0.008585858585858586,100,500,5.0,7,threshold,LASSO
