precision,recall,f1,hub_recovery,kendall_tau,N,T,T_N,trial,dgp,method
0.375,0.033707865168539325,0.061855670103092786,0.4,0.1141060395360731,30,60,2.0,6,threshold,LASSO
0.12962962962962962,0.15555555555555556,0.1414141414141414,0.4,0.0664764872683282,30,60,2.0,7,linear,OLS
0.2857142857142857,0.044444444444444446,0.07692307692307693,0.2,-0.1273740788604522,30,60,2.0,7,linear,LASSO
0.19230769230769232,0.11494252873563218,0.14388489208633093,0.0,0.01712769361225,30,60,2.0,7,threshold,OLS
0.125,0.011494252873563218,0.021052631578947368,0.0,-0.10079408154529239,30,60,2.0,7,threshold,LASSO
0.21428571428571427,0.6666666666666666,0.32432432432432434,0.0,0.07996083733715874,30,250,8.33,0,linear,OLS
0.8571428571428571,0.5333333333333333,0.6575342465753424,0.6,0.5410200575789245,30,250,8.33,0,linear,LASSO
0.44871794871794873,0.3977272727272727,0.42168674698795183,0.4,0.48334079235373295,30,250,8.33,0,threshold,OLS
0.8461538461538461,0.125,0.21782178217821782,0.2,0.07271141014987792,30,250,8.33,0,threshold,LASSO
0.1566265060240964,0.5777777777777777,0.24644549763033174,0.4,0.15555665498748236,30,250,8.33,1,linear,OLS
0.5833333333333334,0.4666666666666667,0.5185185185185185,0.4,0.31712623391786093,30,250,8.33,1,linear,LASSO
0.46875,0.33707865168539325,0.39215686274509803,0.4,0.3692250887102526,30,250,8.33,1,threshold,OLS
0.8571428571428571,0.1348314606741573,0.23300970873786409,0.2,0.08494757294455808,30,250,8.33,1,threshold,LASSO
0.21,0.4666666666666667,0.2896551724137931,0.4,0.19936899765134017,30,250,8.33,2,linear,OLS
0.6111111111111112,0.24444444444444444,0.3492063492063492,0.4,0.22293226590317267,30,250,8.33,2,linear,LASSO
0.4722222222222222,0.39080459770114945,0.4276729559748428,0.2,0.22425810538521196,30,250,8.33,2,threshold,OLS
1.0,0.12643678160919541,0.22448979591836735,0.2,0.342316583594849,30,250,8.33,2,threshold,LASSO
0.24,0.6666666666666666,0.35294117647058826,0.4,0.19412934103977608,30,250,8.33,3,linear,OLS
0.6,0.4,0.48,0.2,0.18688926398867087,30,250,8.33,3,linear,LASSO
0.45614035087719296,0.2988505747126437,0.3611111111111111,0.4,0.12897743092420963,30,250,8.33,3,threshold,OLS
0.8333333333333334,0.1724137931034483,0.2857142857142857,0.2,0.17510890889236563,30,250,8.33,3,threshold,LASSO
0.20430107526881722,0.4222222222222222,0.2753623188405797,0.6,0.3838363638673464,30,250,8.33,4,linear,OLS
0.8235294117647058,0.3111111111111111,0.45161290322580644,0.4,0.28595369651767966,30,250,8.33,4,linear,LASSO
0.4307692307692308,0.3181818181818182,0.3660130718954248,0.4,0.23457655294521876,30,250,8.33,4,threshold,OLS
1.0,0.10227272727272728,0.18556701030927836,0.6,0.4322940599751912,30,250,8.33,4,threshold,LASSO
0.17355371900826447,0.4666666666666667,0.25301204819277107,0.4,0.28571428571428575,30,250,8.33,5,linear,OLS
0.55,0.24444444444444444,0.3384615384615385,0.2,0.24089813452905687,30,250,8.33,5,linear,LASSO
0.4576271186440678,0.3,0.3624161073825503,0.2,0.1670949423639748,30,250,8.33,5,threshold,OLS
1.0,0.15555555555555556,0.2692307692307692,0.6,0.3296420305733489,30,250,8.33,5,threshold,LASSO
