N,T,T_N,trial,estimator,signal,hub_recovery,kendall_tau
100,500,5.0,1,LASSO,NIO,0.0,0.07923218017340372
100,500,5.0,1,LASSO,WOD,0.0,0.18349881619933617
100,500,5.0,1,LASSO,PageRank,0.2,0.09548979164329963
100,500,5.0,1,OLS,NIO,0.0,-0.05727108675577552
100,500,5.0,1,OLS,WOD,0.0,0.11238912513727377
100,500,5.0,1,OLS,PageRank,0.2,0.10076266391617648
100,500,5.0,2,LASSO,NIO,0.0,0.031695350206188466
100,500,5.0,2,LASSO,WOD,0.0,0.10522271277569725
100,500,5.0,2,LASSO,PageRank,0.0,0.07458825209416514
100,500,5.0,2,OLS,NIO,0.0,-0.008175957517527095
100,500,5.0,2,OLS,WOD,0.0,0.07100173633641951
100,500,5.0,2,OLS,PageRank,0.0,0.04862543155160852
100,500,5.0,3,LASSO,NIO,0.2,0.02158141120722411
100,500,5.0,3,LASSO,WOD,0.2,0.13925182315710907
100,500,5.0,3,LASSO,PageRank,0.2,0.14890293961354237
100,500,5.0,3,OLS,NIO,0.0,0.0
100,500,5.0,3,OLS,WOD,0.0,0.09547174996551498
100,500,5.0,3,OLS,PageRank,0.2,0.1002671346669792
100,500,5.0,4,LASSO,NIO,0.0,0.12869074240246847
100,500,5.0,4,LASSO,WOD,0.2,0.22973487554665206
100,500,5.0,4,LASSO,PageRank,0.0,0.21318143758126526
100,500,5.0,4,OLS,NIO,0.0,0.08964850514504155
100,500,5.0,4,OLS,WOD,0.0,0.1799419635645079
100,500,5.0,4,OLS,PageRank,0.2,0.09738794443813868
100,500,5.0,5,LASSO,NIO,0.4,-0.001327247063900861
100,500,5.0,5,LASSO,WOD,0.4,0.06371249397084681
100,500,5.0,5,LASSO,PageRank,0.2,-0.020770739792693647
100,500,5.0,5,OLS,NIO,0.2,-0.06220393178445183
100,500,5.0,5,OLS,WOD,0.2,0.12220205038505784
100,500,5.0,5,OLS,PageRank,0.0,0.04102812521953206
100,500,5.0,6,LASSO,NIO,0.4,0.09833708602486677
100,500,5.0,6,LASSO,WOD,0.4,0.20104050294770126
100,500,5.0,6,LASSO,PageRank,0.2,0.12088426793622552
100,500,5.0,6,OLS,NIO,0.0,-0.05650069416341029
100,500,5.0,6,OLS,WOD,0.0,0.08582929876731793
100,500,5.0,6,OLS,PageRank,0.0,-0.16173862833037297
100,500,5.0,7,LASSO,NIO,0.2,0.13474292568029098
100,500,5.0,7,LASSO,WOD,0.2,0.24148641235726895
100,500,5.0,7,LASSO,PageRank,0.0,0.14190438664293123
100,500,5.0,7,OLS,NIO,0.0,-0.04150073483091813
100,500,5.0,7,OLS,WOD,0.0,0.11499161942733566
100,500,5.0,7,OLS,PageRank,0.0,0.029828653159722412
