N,T,T_N,trial,h,signal,t_stat,n_conn,n_isol
50,500,10.0,3,5,Oracle_NIO,0.23228327348455968,41,9
50,500,10.0,3,5,LASSO_NIO,0.34023330485412195,45,5
50,500,10.0,3,10,Oracle_NIO,0.3929612580188623,41,9
50,500,10.0,3,10,LASSO_NIO,-0.11662442186953927,45,5
50,500,10.0,3,15,Oracle_NIO,0.6511114878255367,41,9
50,500,10.0,3,15,LASSO_NIO,-1.0735345395258975,45,5
50,500,10.0,3,20,Oracle_NIO,-2.8202362092773887,41,9
50,500,10.0,3,20,LASSO_NIO,0.27578787904649876,45,5
50,500,10.0,3,25,Oracle_NIO,1.0741236793144269,41,9
50,500,10.0,3,25,LASSO_NIO,-1.2210335565420378,45,5
50,500,10.0,3,30,Oracle_NIO,0.014547307904929925,41,9
50,500,10.0,3,30,LASSO_NIO,0.4631980970787821,45,5
50,500,10.0,3,35,Oracle_NIO,0.4433464959200786,41,9
50,500,10.0,3,35,LASSO_NIO,1.0454054813681666,45,5
50,500,10.0,3,40,Oracle_NIO,-1.6621602371534847,41,9
50,500,10.0,3,40,LASSO_NIO,-0.6536713853999842,45,5
50,500,10.0,3,45,Oracle_NIO,-0.6750106243037519,41,9
50,500,10.0,3,45,LASSO_NIO,1.4338782801103005,45,5
50,500,10.0,3,50,Oracle_NIO,1.967295152365189,41,9
50,500,10.0,3,50,LASSO_NIO,0.6290519396267976,45,5
50,500,10.0,3,55,Oracle_NIO,-2.7303159759923012,41,9
50,500,10.0,3,55,LASSO_NIO,-0.6720648352237757,45,5
50,500,10.0,3,60,Oracle_NIO,0.5924121848102226,41,9
50,500,10.0,3,60,LASSO_NIO,1.53164910521988,45,5
50,500,10.0,3,65,Oracle_NIO,-0.38422039795812274,41,9
50,500,10.0,3,65,LASSO_NIO,1.3695051285999207,45,5
50,500,10.0,3,70,Oracle_NIO,0.8456349464637735,41,9
50,500,10.0,3,70,LASSO_NIO,0.19758477861514467,45,5
50,500,10.0,3,75,Oracle_NIO,-2.142273780689376,41,9
50,500,10.0,3,75,LASSO_NIO,0.39956773591773115,45,5
50,500,10.0,3,80,Oracle_NIO,0.6579755029515437,41,9
50,500,10.0,3,80,LASSO_NIO,-0.2606220564366411,45,5
50,500,10.0,3,85,Oracle_NIO,-0.7119917885056127,41,9
50,500,10.0,3,85,LASSO_NIO,-0.18802899564853728,45,5
50,500,10.0,3,90,Oracle_NIO,0.7095003571085647,41,9
50,500,10.0,3,90,LASSO_NIO,-0.6169859460661989,45,5
50,500,10.0,4,0,Oracle_NIO,-1.1708774391692944,41,9
50,500,10.0,4,0,LASSO_NIO,0.48769830085066135,46,4
50,500,10.0,4,5,Oracle_NIO,0.3027234613001034,41,9
50,500,10.0,4,5,LASSO_NIO,-1.7811130075107358,46,4
50,500,10.0,4,10,Oracle_NIO,0.13691388202234256,41,9
50,500,10.0,4,10,LASSO_NIO,3.4991217171033586,46,4
50,500,10.0,4,15,Oracle_NIO,0.1406554458361128,41,9
50,500,10.0,4,15,LASSO_NIO,-1.2654890793391962,46,4
50,500,10.0,4,20,Oracle_NIO,0.6844504298278382,41,9
50,500,10.0,4,20,LASSO_NIO,-3.768798485676071,46,4
50,500,10.0,4,25,Oracle_NIO,-0.30669004099666713,41,9
50,500,10.0,4,25,LASSO_NIO,3.6218418873189755,46,4
50,500,10.0,4,30,Oracle_NIO,0.7312780371810419,41,9
50,500,10.0,4,30,LASSO_NIO,-4.10368432124443,46,4
50,500,10.0,4,35,Oracle_NIO,0.6399222040973176,41,9
50,500,10.0,4,35,LASSO_NIO,3.4802624682863232,46,4
50,500,10.0,4,40,Oracle_NIO,0.7576785815874736,41,9
50,500,10.0,4,40,LASSO_NIO,-3.4338166697133783,46,4
50,500,10.0,4,45,Oracle_NIO,-1.51074303281995,41,9
50,500,10.0,4,45,LASSO_NIO,3.297396482549246,46,4
50,500,10.0,4,50,Oracle_NIO,0.31969295143710696,41,9
50,500,10.0,4,50,LASSO_NIO,-3.8323868585703704,46,4
50,500,10.0,4,55,Oracle_NIO,0.09437028212923276,41,9
50,500,10.0,4,55,LASSO_NIO,-2.728800787175855,46,4
50,500,10.0,4,60,Oracle_NIO,0.8720051947940287,41,9
