method,f1,precision,recall,density_true,density_pred,N,T,trial,T_N_ratio
LASSO-TE,0.07462686567164178,0.5555555555555556,0.04,0.05102040816326531,0.003673469387755102,50,250,3,5.0
OLS-TE,0.31007751937984496,0.3007518796992481,0.32,0.05102040816326531,0.054285714285714284,50,250,3,5.0
LASSO-TE,0.04580152671755725,0.5,0.024,0.05102040816326531,0.0024489795918367346,50,250,4,5.0
OLS-TE,0.3333333333333333,0.29936305732484075,0.376,0.05102040816326531,0.06408163265306123,50,250,4,5.0
LASSO-TE,0.12949640287769784,0.6428571428571429,0.072,0.05102040816326531,0.005714285714285714,50,250,5,5.0
OLS-TE,0.3391003460207612,0.29878048780487804,0.392,0.05102040816326531,0.06693877551020408,50,250,5,5.0
LASSO-TE,0.10526315789473684,0.875,0.056,0.05102040816326531,0.0032653061224489797,50,250,6,5.0
OLS-TE,0.33003300330033003,0.2808988764044944,0.4,0.05102040816326531,0.07265306122448979,50,250,6,5.0
LASSO-TE,0.11594202898550725,0.6153846153846154,0.064,0.05102040816326531,0.005306122448979592,50,250,7,5.0
OLS-TE,0.30985915492957744,0.27672955974842767,0.352,0.05102040816326531,0.06489795918367347,50,250,7,5.0
LASSO-TE,0.10218978102189781,0.5833333333333334,0.056,0.05102040816326531,0.004897959183673469,50,250,8,5.0
OLS-TE,0.2773722627737226,0.2550335570469799,0.304,0.05102040816326531,0.060816326530612246,50,250,8,5.0
LASSO-TE,0.1506849315068493,0.5238095238095238,0.088,0.05102040816326531,0.008571428571428572,50,250,9,5.0
OLS-TE,0.30434782608695654,0.2781456953642384,0.336,0.05102040816326531,0.061632653061224486,50,250,9,5.0
LASSO-TE,0.2550335570469799,0.7916666666666666,0.152,0.05102040816326531,0.009795918367346938,50,500,0,10.0
OLS-TE,0.45222929936305734,0.37566137566137564,0.568,0.05102040816326531,0.07714285714285714,50,500,0,10.0
LASSO-TE,0.3312883435582822,0.7105263157894737,0.216,0.05102040816326531,0.015510204081632653,50,500,1,10.0
OLS-TE,0.4984423676012461,0.40816326530612246,0.64,0.05102040816326531,0.08,50,500,1,10.0
LASSO-TE,0.33962264150943394,0.7941176470588235,0.216,0.05102040816326531,0.013877551020408163,50,500,2,10.0
OLS-TE,0.5233644859813084,0.42857142857142855,0.672,0.05102040816326531,0.08,50,500,2,10.0
