dgp,method,N,T,T_N,n_trials,precision,precision_ci,recall,recall_ci,f1,f1_ci,hub_recovery,hub_recovery_ci,net_density,net_density_ci
garch_factor,OLS,50,250,5.0,100,0.1678,0.0042,0.4834,0.0093,0.2481,0.005,0.172,0.0324,0.1492,0.0048
garch_factor,OLS,50,500,10.0,100,0.1324,0.0035,0.5914,0.0088,0.2157,0.0048,0.17,0.0306,0.2319,0.007
garch_factor,OLS,100,60,0.6,100,0.1157,0.0026,0.1784,0.0038,0.1401,0.0028,0.1,0.0255,0.0782,0.0013
garch_factor,OLS,100,120,1.2,100,0.1527,0.0025,0.307,0.0044,0.2036,0.0028,0.128,0.0274,0.102,0.0017
garch_factor,OLS,100,250,2.5,100,0.142,0.0033,0.481,0.0059,0.2185,0.0039,0.084,0.0227,0.174,0.0058
garch_factor,OLS,100,500,5.0,100,0.1037,0.0028,0.6085,0.0057,0.1766,0.0041,0.078,0.0232,0.3038,0.0115
garch_factor,OLS,100,1000,10.0,100,0.0753,0.002,0.7071,0.0069,0.1358,0.0031,0.07,0.0221,0.4839,0.0157
garch_factor,LASSO,20,12,0.6,100,0.0653,0.014,0.0435,0.0091,0.0514,0.0108,0.268,0.0367,0.0331,0.0022
garch_factor,LASSO,20,20,1.0,100,0.0735,0.0186,0.03,0.0073,0.0411,0.0099,0.274,0.0381,0.0207,0.0017
garch_factor,LASSO,20,50,2.5,100,0.1988,0.0372,0.069,0.0137,0.097,0.0185,0.338,0.0394,0.0196,0.0023
garch_factor,LASSO,20,100,5.0,100,0.2992,0.0384,0.1145,0.0168,0.1598,0.0217,0.34,0.0354,0.0199,0.0018
garch_factor,LASSO,20,200,10.0,100,0.4578,0.0321,0.243,0.0183,0.3075,0.0206,0.384,0.0346,0.0296,0.0022
garch_factor,LASSO,50,30,0.6,100,0.1385,0.0196,0.0162,0.0024,0.0287,0.0043,0.124,0.0257,0.0058,0.0003
garch_factor,LASSO,50,60,1.2,100,0.1785,0.0216,0.0377,0.0042,0.0595,0.0062,0.112,0.0305,0.0129,0.0016
garch_factor,LASSO,50,125,2.5,100,0.5681,0.0216,0.1007,0.0061,0.1701,0.0095,0.152,0.0329,0.009,0.0004
garch_factor,LASSO,50,250,5.0,100,0.763,0.0162,0.2374,0.0096,0.3602,0.0119,0.242,0.034,0.0159,0.0006
garch_factor,LASSO,50,500,10.0,100,0.7936,0.0162,0.3985,0.0118,0.5268,0.0113,0.332,0.0339,0.0259,0.001
garch_factor,LASSO,100,60,0.6,100,0.3748,0.0213,0.0187,0.0015,0.0355,0.0028,0.07,0.0221,0.0025,0.0001
garch_factor,LASSO,100,120,1.2,100,0.7235,0.0184,0.0539,0.0026,0.1,0.0046,0.082,0.024,0.0038,0.0002
garch_factor,LASSO,100,250,2.5,100,0.926,0.0063,0.1673,0.0055,0.2825,0.0079,0.122,0.0287,0.0091,0.0003
garch_factor,LASSO,100,500,5.0,100,0.932,0.01,0.3683,0.0086,0.5256,0.0082,0.234,0.0391,0.0201,0.0006
garch_factor,LASSO,100,1000,10.0,100,0.5853,0.0289,0.5928,0.0103,0.5753,0.0125,0.12,0.0334,0.0552,0.0035
