N,T,T/N,trial,method,precision,recall,f1,hub_recovery,density
20,12,0.6,40,KNN,0.10526315789473684,0.1,0.10256410256410256,0.4,0.05
20,12,0.6,41,OLS,,,,,
20,12,0.6,41,LASSO,0.0,0.0,0.0,0.4,0.034210526315789476
20,12,0.6,41,KNN,0.0,0.0,0.0,0.4,0.05
20,12,0.6,42,OLS,,,,,
20,12,0.6,42,LASSO,0.0,0.0,0.0,0.2,0.013157894736842105
20,12,0.6,42,KNN,0.10526315789473684,0.1,0.10256410256410256,0.2,0.05
20,12,0.6,43,OLS,,,,,
20,12,0.6,43,LASSO,0.1111111111111111,0.05,0.06896551724137931,0.6,0.02368421052631579
20,12,0.6,43,KNN,0.05263157894736842,0.05,0.05128205128205128,0.8,0.05
20,12,0.6,44,OLS,,,,,
20,12,0.6,44,LASSO,0.2,0.1,0.13333333333333333,0.2,0.02631578947368421
20,12,0.6,44,KNN,0.0,0.0,0.0,0.0,0.05
20,12,0.6,45,OLS,,,,,
20,12,0.6,45,LASSO,0.058823529411764705,0.05,0.05405405405405406,0.0,0.04473684210526316
20,12,0.6,45,KNN,0.05263157894736842,0.05,0.05128205128205128,0.4,0.05
20,12,0.6,46,OLS,,,,,
20,12,0.6,46,LASSO,0.15384615384615385,0.1,0.12121212121212122,0.4,0.034210526315789476
20,12,0.6,46,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,12,0.6,47,OLS,,,,,
20,12,0.6,47,LASSO,0.16666666666666666,0.05,0.07692307692307693,0.2,0.015789473684210527
20,12,0.6,47,KNN,0.10526315789473684,0.1,0.10256410256410256,0.6,0.05
20,12,0.6,48,OLS,,,,,
20,12,0.6,48,LASSO,0.0,0.0,0.0,0.4,0.02631578947368421
20,12,0.6,48,KNN,0.10526315789473684,0.1,0.10256410256410256,0.0,0.05
20,12,0.6,49,OLS,,,,,
20,12,0.6,49,LASSO,0.0,0.0,0.0,0.4,0.039473684210526314
20,12,0.6,49,KNN,0.0,0.0,0.0,0.2,0.05
20,50,2.5,0,OLS,,,,,
20,50,2.5,0,LASSO,0.2222222222222222,0.1,0.13793103448275862,0.0,0.02368421052631579
20,50,2.5,0,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,50,2.5,1,OLS,,,,,
20,50,2.5,1,LASSO,0.18181818181818182,0.1,0.12903225806451613,0.4,0.02894736842105263
20,50,2.5,1,KNN,0.05263157894736842,0.05,0.05128205128205128,0.4,0.05
20,50,2.5,2,OLS,,,,,
20,50,2.5,2,LASSO,0.0,0.0,0.0,0.0,0.03684210526315789
20,50,2.5,2,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,50,2.5,3,OLS,,,,,
20,50,2.5,3,LASSO,0.0,0.0,0.0,0.2,0.02631578947368421
20,50,2.5,3,KNN,0.10526315789473684,0.1,0.10256410256410256,0.6,0.05
20,50,2.5,4,OLS,,,,,
20,50,2.5,4,LASSO,0.125,0.05,0.07142857142857142,0.4,0.021052631578947368
20,50,2.5,4,KNN,0.0,0.0,0.0,0.2,0.05
20,50,2.5,5,OLS,,,,,
20,50,2.5,5,LASSO,0.42857142857142855,0.15,0.2222222222222222,0.6,0.018421052631578946
20,50,2.5,5,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,50,2.5,6,OLS,,,,,
20,50,2.5,6,LASSO,0.14285714285714285,0.05,0.07407407407407407,0.0,0.018421052631578946
20,50,2.5,6,KNN,0.10526315789473684,0.1,0.10256410256410256,0.4,0.05
20,50,2.5,7,OLS,,,,,
20,50,2.5,7,LASSO,0.16666666666666666,0.05,0.07692307692307693,0.0,0.015789473684210527
20,50,2.5,7,KNN,0.05263157894736842,0.05,0.05128205128205128,0.2,0.05
20,50,2.5,8,OLS,,,,,
20,50,2.5,8,LASSO,0.16666666666666666,0.05,0.07692307692307693,0.2,0.015789473684210527
20,50,2.5,8,KNN,0.0,0.0,0.0,0.4,0.05
20,50,2.5,9,OLS,,,,,
20,50,2.5,9,LASSO,0.18181818181818182,0.1,0.12903225806451613,0.4,0.02894736842105263
20,50,2.5,9,KNN,0.10526315789473684,0.1,0.10256410256410256,0.0,0.05
20,50,2.5,10,OLS,,,,,
