formation_date,pred_start,pred_end,mean_te,max_te,p75_te,density,n_stocks
2022-07-21,2022-07-22,2022-07-28,1.4424607523181103e-06,6.026954389270313e-05,1.880092777339659e-06,0.24752576267727783,99
2022-07-28,2022-07-29,2022-08-04,1.3305636265025565e-06,6.28512572372705e-05,1.7556397292031308e-06,0.24752576267727783,99
2022-08-04,2022-08-05,2022-08-11,1.4854982398865126e-06,6.23175984687776e-05,1.9679756331147184e-06,0.2475,100
2022-08-11,2022-08-12,2022-08-18,1.3613415668891697e-06,5.918373419702076e-05,1.7272731437315451e-06,0.2475,100
2022-08-18,2022-08-19,2022-08-25,1.3711614836339688e-06,3.0073299084728776e-05,1.7888772935172411e-06,0.2475,100
2022-08-25,2022-08-26,2022-09-01,1.3953795684653597e-06,2.4319093400075955e-05,1.8430382782461252e-06,0.2475,100
2022-09-01,2022-09-02,2022-09-09,1.4054163427971174e-06,2.4107091862195213e-05,1.8341380895870306e-06,0.2475,100
2022-09-09,2022-09-12,2022-09-16,1.4520316754255539e-06,2.0384620614431086e-05,1.828535285370422e-06,0.2475,100
2022-09-16,2022-09-19,2022-09-23,1.3801531141078945e-06,2.8099692079897636e-05,1.7867330805650831e-06,0.2475,100
2022-09-23,2022-09-26,2022-09-30,1.455639835534471e-06,2.4307756430615183e-05,1.749208102467427e-06,0.2475,100
2022-09-30,2022-10-03,2022-10-07,1.6495243445750677e-06,2.2707320315213303e-05,2.1110942410028212e-06,0.2475,100
2022-10-07,2022-10-10,2022-10-14,1.4102880788172079e-06,2.641891006131434e-05,1.7078176997436427e-06,0.2475,100
2022-10-14,2022-10-17,2022-10-21,1.2703119698796823e-06,2.7275212966707887e-05,1.5368964246186316e-06,0.2475,100
2022-10-21,2022-10-24,2022-10-28,1.2370604841520558e-06,2.512918758035135e-05,1.524959354777815e-06,0.2475,100
2022-10-28,2022-10-31,2022-11-04,1.3764102177384166e-06,2.886640718992709e-05,1.6798526316564785e-06,0.2475,100
2022-11-04,2022-11-07,2022-11-11,1.5297314740928073e-06,6.107322951695117e-05,1.7864226794727907e-06,0.2475,100
2022-11-11,2022-11-14,2022-11-18,1.449093774539403e-06,5.685569406455391e-05,1.673727062295788e-06,0.2475,100
2022-11-18,2022-11-21,2022-11-28,1.4599712538712064e-06,5.4579434315198227e-05,1.7320828032761796e-06,0.2475,100
2022-11-28,2022-11-29,2022-12-05,1.5329193082378552e-06,5.4529267081292e-05,1.818301481784731e-06,0.2475,100
2022-12-05,2022-12-06,2022-12-12,1.4751904015650363e-06,3.0708252238141945e-05,1.786004783690736e-06,0.2475,100
2022-12-12,2022-12-13,2022-12-19,1.4090399688837754e-06,3.24938977835234e-05,1.8266066268325916e-06,0.24752576267727783,99
2022-12-19,2022-12-20,2022-12-27,1.4695856103739964e-06,3.039524859319543e-05,1.991376396126403e-06,0.24752576267727783,99
2022-12-27,2022-12-28,2023-01-04,1.5012740953673496e-06,3.0708514486095225e-05,2.018053921931308e-06,0.24752576267727783,99
2023-01-04,2023-01-05,2023-01-11,1.7981500361300469e-06,2.995949170360837e-05,2.445478148996474e-06,0.2475,100
2023-01-11,2023-01-12,2023-01-19,1.7583126044612054e-06,3.22194716452612e-05,2.3948461177408767e-06,0.2475,100
2023-01-19,2023-01-20,2023-01-26,1.8211379574026284e-06,3.488836259574449e-05,2.3648192444144623e-06,0.2475,100
2023-01-26,2023-01-27,2023-02-02,1.684387149744496e-06,2.560275179768639e-05,2.1147100815051924e-06,0.2475,100
2023-02-02,2023-02-03,2023-02-09,2.0582446280079856e-06,3.3260402501027256e-05,2.451993773540614e-06,0.2475,100
2023-02-09,2023-02-10,2023-02-16,2.219876969026802e-06,3.553360282232453e-05,3.0670637023447882e-06,0.2475,100
2023-02-16,2023-02-17,2023-02-24,2.412837576324546e-06,3.6844462191354804e-05,3.409118060122117e-06,0.2475,100
2023-02-24,2023-02-27,2023-03-03,2.2995417031644044e-06,3.769487961567695e-05,3.1191048934449208e-06,0.2475,100
2023-03-03,2023-03-06,2023-03-10,2.145678931715071e-06,3.718009216897814e-05,2.6590371782873803e-06,0.2475,100
2023-03-10,2023-03-13,2023-03-17,2.0038665408447122e-06,3.690663237558427e-05,2.5846228085786374e-06,0.2475,100
2023-03-17,2023-03-20,2023-03-24,2.2240424525611717e-06,4.516836755522552e-05,2.8408850211705657e-06,0.2475,100
