method,f1,precision,recall,density_true,density_pred,N,T,trial,T_N_ratio,dgp
LASSO-TE,0.35714285714285715,0.9090909090909091,0.2222222222222222,0.05172413793103448,0.01264367816091954,30,500,5,16.666666666666668,gaussian
OLS-TE,0.4716981132075472,0.4098360655737705,0.5555555555555556,0.05172413793103448,0.07011494252873564,30,500,5,16.666666666666668,gaussian
LASSO-TE,0.16326530612244897,1.0,0.08888888888888889,0.05172413793103448,0.004597701149425287,30,500,6,16.666666666666668,gaussian
OLS-TE,0.43859649122807015,0.36231884057971014,0.5555555555555556,0.05172413793103448,0.07931034482758621,30,500,6,16.666666666666668,gaussian
LASSO-TE,0.38596491228070173,0.9166666666666666,0.24444444444444444,0.05172413793103448,0.013793103448275862,30,500,7,16.666666666666668,gaussian
OLS-TE,0.5,0.4,0.6666666666666666,0.05172413793103448,0.08620689655172414,30,500,7,16.666666666666668,gaussian
LASSO-TE,0.23529411764705882,1.0,0.13333333333333333,0.05172413793103448,0.006896551724137931,30,500,8,16.666666666666668,gaussian
OLS-TE,0.45045045045045046,0.3787878787878788,0.5555555555555556,0.05172413793103448,0.07586206896551724,30,500,8,16.666666666666668,gaussian
LASSO-TE,0.2641509433962264,0.875,0.15555555555555556,0.05172413793103448,0.009195402298850575,30,500,9,16.666666666666668,gaussian
OLS-TE,0.44,0.4,0.4888888888888889,0.05172413793103448,0.06321839080459771,30,500,9,16.666666666666668,gaussian
LASSO-TE,0.012987012987012988,0.034482758620689655,0.008,0.05102040816326531,0.01183673469387755,50,60,0,1.2,gaussian
OLS-TE,0.11627906976744186,0.11278195488721804,0.12,0.05102040816326531,0.054285714285714284,50,60,0,1.2,gaussian
LASSO-TE,0.044444444444444446,0.3,0.024,0.05102040816326531,0.004081632653061225,50,60,1,1.2,gaussian
OLS-TE,0.11382113821138211,0.11570247933884298,0.112,0.05102040816326531,0.04938775510204082,50,60,1,1.2,gaussian
LASSO-TE,0.043478260869565216,0.23076923076923078,0.024,0.05102040816326531,0.005306122448979592,50,60,2,1.2,gaussian
OLS-TE,0.12295081967213115,0.12605042016806722,0.12,0.05102040816326531,0.04857142857142857,50,60,2,1.2,gaussian
LASSO-TE,0.027210884353741496,0.09090909090909091,0.016,0.05102040816326531,0.008979591836734694,50,60,3,1.2,gaussian
OLS-TE,0.1076923076923077,0.1037037037037037,0.112,0.05102040816326531,0.05510204081632653,50,60,3,1.2,gaussian
LASSO-TE,0.043795620437956206,0.25,0.024,0.05102040816326531,0.004897959183673469,50,60,4,1.2,gaussian
OLS-TE,0.16393442622950818,0.16806722689075632,0.16,0.05102040816326531,0.04857142857142857,50,60,4,1.2,gaussian
LASSO-TE,0.013888888888888888,0.05263157894736842,0.008,0.05102040816326531,0.007755102040816327,50,60,5,1.2,gaussian
OLS-TE,0.2134387351778656,0.2109375,0.216,0.05102040816326531,0.052244897959183675,50,60,5,1.2,gaussian
LASSO-TE,0.02962962962962963,0.2,0.016,0.05102040816326531,0.004081632653061225,50,60,6,1.2,gaussian
OLS-TE,0.1532567049808429,0.14705882352941177,0.16,0.05102040816326531,0.05551020408163265,50,60,6,1.2,gaussian
LASSO-TE,0.0,0.0,0.0,0.05102040816326531,0.007755102040816327,50,60,7,1.2,gaussian
OLS-TE,0.10566037735849057,0.1,0.112,0.05102040816326531,0.05714285714285714,50,60,7,1.2,gaussian
