precision,recall,f1,hub_recovery,kendall_tau,density_true,density_pred,N,T,T_N,trial,method
0.75,0.024,0.046511627906976744,0.0,-0.03213741340720576,0.05102040816326531,0.0016326530612244899,50,250,5.0,5,Estimated (PCA)
0.3076923076923077,0.032,0.057971014492753624,0.0,-0.1930524408908594,0.05102040816326531,0.005306122448979592,50,250,5.0,6,Raw
0.8,0.032,0.06153846153846154,0.0,0.04278870292037866,0.05102040816326531,0.0020408163265306124,50,250,5.0,6,Oracle
1.0,0.064,0.12030075187969924,0.4,0.1410301352749706,0.05102040816326531,0.0032653061224489797,50,250,5.0,6,Estimated (PCA)
0.4166666666666667,0.04,0.072992700729927,0.0,0.08850760952980369,0.05102040816326531,0.004897959183673469,50,250,5.0,7,Raw
0.5,0.024,0.04580152671755725,0.0,-0.09836317477625037,0.05102040816326531,0.0024489795918367346,50,250,5.0,7,Oracle
0.3333333333333333,0.016,0.030534351145038167,0.0,-0.15068401242319204,0.05102040816326531,0.0024489795918367346,50,250,5.0,7,Estimated (PCA)
0.68,0.034,0.06476190476190476,0.2,0.03382440467807006,0.050505050505050504,0.0025252525252525255,100,500,5.0,0,Raw
0.8928571428571429,0.05,0.0946969696969697,0.0,-0.07019769599306222,0.050505050505050504,0.0028282828282828283,100,500,5.0,0,Oracle
0.9166666666666666,0.066,0.12313432835820895,0.0,0.09993505561320583,0.050505050505050504,0.0036363636363636364,100,500,5.0,0,Estimated (PCA)
0.8,0.04,0.0761904761904762,0.2,-0.053575536321483264,0.050505050505050504,0.0025252525252525255,100,500,5.0,1,Raw
0.9655172413793104,0.056,0.10586011342155009,0.0,-0.006107665484159566,0.050505050505050504,0.0029292929292929295,100,500,5.0,1,Oracle
0.9714285714285714,0.068,0.12710280373831775,0.0,-0.028581261010574153,0.050505050505050504,0.0035353535353535356,100,500,5.0,1,Estimated (PCA)
0.6060606060606061,0.04,0.075046904315197,0.0,-0.10177929641280406,0.050505050505050504,0.0033333333333333335,100,500,5.0,2,Raw
0.9428571428571428,0.066,0.1233644859813084,0.0,-0.015009075794874012,0.050505050505050504,0.0035353535353535356,100,500,5.0,2,Oracle
0.9459459459459459,0.07,0.1303538175046555,0.0,-0.07891010615583148,0.050505050505050504,0.0037373737373737376,100,500,5.0,2,Estimated (PCA)
0.6451612903225806,0.04,0.07532956685499058,0.0,0.024416826225215363,0.050505050505050504,0.0031313131313131315,100,500,5.0,3,Raw
0.9615384615384616,0.1,0.18115942028985507,0.0,0.0362165164152565,0.050505050505050504,0.0052525252525252525,100,500,5.0,3,Oracle
1.0,0.094,0.17184643510054845,0.0,0.09238499240795812,0.050505050505050504,0.004747474747474748,100,500,5.0,3,Estimated (PCA)
0.59375,0.038,0.07142857142857142,0.0,0.10502975878693355,0.050505050505050504,0.0032323232323232323,100,500,5.0,4,Raw
0.8928571428571429,0.05,0.0946969696969697,0.2,0.06977333578362976,0.050505050505050504,0.0028282828282828283,100,500,5.0,4,Oracle
0.88,0.044,0.0838095238095238,0.0,-0.03547916777127277,0.050505050505050504,0.0025252525252525255,100,500,5.0,4,Estimated (PCA)
0.6875,0.044,0.08270676691729323,0.2,0.17242393298179234,0.050505050505050504,0.0032323232323232323,100,500,5.0,5,Raw
0.9375,0.06,0.11278195488721804,0.0,0.08408600470707672,0.050505050505050504,0.0032323232323232323,100,500,5.0,5,Oracle
1.0,0.056,0.10606060606060606,0.0,0.11166519331233872,0.050505050505050504,0.0028282828282828283,100,500,5.0,5,Estimated (PCA)
0.42105263157894735,0.016,0.030828516377649325,0.0,0.016884711459119003,0.050505050505050504,0.0019191919191919192,100,500,5.0,6,Raw
0.9130434782608695,0.042,0.08030592734225621,0.2,-0.06006744047742999,0.050505050505050504,0.0023232323232323234,100,500,5.0,6,Oracle
0.8333333333333334,0.04,0.07633587786259542,0.2,-0.008431488388266252,0.050505050505050504,0.0024242424242424242,100,500,5.0,6,Estimated (PCA)
0.6521739130434783,0.03,0.05736137667304015,0.0,0.18244301996539386,0.050505050505050504,0.0023232323232323234,100,500,5.0,7,Raw
0.9411764705882353,0.064,0.1198501872659176,0.0,0.220296770069449,0.050505050505050504,0.0034343434343434343,100,500,5.0,7,Oracle
0.9230769230769231,0.048,0.09125475285171103,0.0,0.143206631906556,0.050505050505050504,0.0026262626262626263,100,500,5.0,7,Estimated (PCA)
