trial,method,true_d1,true_d2,est_d1,est_d2,true_delta,est_delta,correct_direction
36,LASSO,0.030612244897959183,0.12244897959183673,0.0016326530612244899,0.004897959183673469,0.09183673469387754,0.0032653061224489793,1
37,OLS,0.030612244897959183,0.12244897959183673,0.0563265306122449,0.06979591836734694,0.09183673469387754,0.013469387755102043,1
37,LASSO,0.030612244897959183,0.12244897959183673,0.00040816326530612246,0.0016326530612244899,0.09183673469387754,0.0012244897959183673,1
38,OLS,0.030612244897959183,0.12244897959183673,0.04857142857142857,0.07346938775510205,0.09183673469387754,0.024897959183673476,1
38,LASSO,0.030612244897959183,0.12244897959183673,0.003673469387755102,0.0020408163265306124,0.09183673469387754,-0.0016326530612244894,0
39,OLS,0.030612244897959183,0.12244897959183673,0.04857142857142857,0.07673469387755102,0.09183673469387754,0.028163265306122454,1
39,LASSO,0.030612244897959183,0.12244897959183673,0.0024489795918367346,0.005714285714285714,0.09183673469387754,0.0032653061224489797,1
40,OLS,0.030612244897959183,0.12244897959183673,0.05591836734693877,0.07142857142857142,0.09183673469387754,0.015510204081632652,1
40,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.005306122448979592,0.09183673469387754,0.004081632653061225,1
41,OLS,0.030612244897959183,0.12244897959183673,0.04897959183673469,0.0746938775510204,0.09183673469387754,0.02571428571428571,1
41,LASSO,0.030612244897959183,0.12244897959183673,0.002857142857142857,0.004081632653061225,0.09183673469387754,0.0012244897959183677,1
42,OLS,0.030612244897959183,0.12244897959183673,0.045714285714285714,0.07142857142857142,0.09183673469387754,0.02571428571428571,1
42,LASSO,0.030612244897959183,0.12244897959183673,0.0020408163265306124,0.003673469387755102,0.09183673469387754,0.0016326530612244894,1
43,OLS,0.030612244897959183,0.12244897959183673,0.053469387755102044,0.07510204081632653,0.09183673469387754,0.021632653061224486,1
43,LASSO,0.030612244897959183,0.12244897959183673,0.0016326530612244899,0.004489795918367347,0.09183673469387754,0.002857142857142857,1
44,OLS,0.030612244897959183,0.12244897959183673,0.053469387755102044,0.07918367346938776,0.09183673469387754,0.025714285714285717,1
44,LASSO,0.030612244897959183,0.12244897959183673,0.0024489795918367346,0.005714285714285714,0.09183673469387754,0.0032653061224489797,1
45,OLS,0.030612244897959183,0.12244897959183673,0.04897959183673469,0.0783673469387755,0.09183673469387754,0.029387755102040815,1
45,LASSO,0.030612244897959183,0.12244897959183673,0.0016326530612244899,0.002857142857142857,0.09183673469387754,0.0012244897959183673,1
46,OLS,0.030612244897959183,0.12244897959183673,0.045714285714285714,0.07551020408163266,0.09183673469387754,0.029795918367346942,1
46,LASSO,0.030612244897959183,0.12244897959183673,0.0024489795918367346,0.005306122448979592,0.09183673469387754,0.0028571428571428576,1
47,OLS,0.030612244897959183,0.12244897959183673,0.05836734693877551,0.07061224489795918,0.09183673469387754,0.012244897959183675,1
47,LASSO,0.030612244897959183,0.12244897959183673,0.00040816326530612246,0.003673469387755102,0.09183673469387754,0.0032653061224489793,1
48,OLS,0.030612244897959183,0.12244897959183673,0.0473469387755102,0.08163265306122448,0.09183673469387754,0.03428571428571428,1
48,LASSO,0.030612244897959183,0.12244897959183673,0.0016326530612244899,0.005306122448979592,0.09183673469387754,0.0036734693877551023,1
49,OLS,0.030612244897959183,0.12244897959183673,0.053877551020408164,0.07591836734693877,0.09183673469387754,0.022040816326530606,1
49,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.005306122448979592,0.09183673469387754,0.004081632653061225,1
50,OLS,0.030612244897959183,0.12244897959183673,0.04693877551020408,0.06693877551020408,0.09183673469387754,0.019999999999999997,1
50,LASSO,0.030612244897959183,0.12244897959183673,0.00040816326530612246,0.002857142857142857,0.09183673469387754,0.0024489795918367346,1
51,OLS,0.030612244897959183,0.12244897959183673,0.0473469387755102,0.07551020408163266,0.09183673469387754,0.028163265306122454,1
51,LASSO,0.030612244897959183,0.12244897959183673,0.0020408163265306124,0.0032653061224489797,0.09183673469387754,0.0012244897959183673,1
52,OLS,0.030612244897959183,0.12244897959183673,0.04938775510204082,0.07224489795918368,0.09183673469387754,0.02285714285714286,1
52,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.002857142857142857,0.09183673469387754,0.0016326530612244899,1
53,OLS,0.030612244897959183,0.12244897959183673,0.04897959183673469,0.0673469387755102,0.09183673469387754,0.018367346938775515,1
53,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.002857142857142857,0.09183673469387754,0.0016326530612244899,1
54,OLS,0.030612244897959183,0.12244897959183673,0.052653061224489796,0.0746938775510204,0.09183673469387754,0.022040816326530606,1
54,LASSO,0.030612244897959183,0.12244897959183673,0.0016326530612244899,0.003673469387755102,0.09183673469387754,0.002040816326530612,1
55,OLS,0.030612244897959183,0.12244897959183673,0.04693877551020408,0.07551020408163266,0.09183673469387754,0.028571428571428574,1
55,LASSO,0.030612244897959183,0.12244897959183673,0.0016326530612244899,0.003673469387755102,0.09183673469387754,0.002040816326530612,1
56,OLS,0.030612244897959183,0.12244897959183673,0.05061224489795919,0.08204081632653061,0.09183673469387754,0.031428571428571424,1
56,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.003673469387755102,0.09183673469387754,0.0024489795918367346,1
57,OLS,0.030612244897959183,0.12244897959183673,0.04897959183673469,0.08,0.09183673469387754,0.03102040816326531,1
57,LASSO,0.030612244897959183,0.12244897959183673,0.0008163265306122449,0.005306122448979592,0.09183673469387754,0.004489795918367347,1
58,OLS,0.030612244897959183,0.12244897959183673,0.04979591836734694,0.06285714285714286,0.09183673469387754,0.013061224489795922,1
58,LASSO,0.030612244897959183,0.12244897959183673,0.0016326530612244899,0.002857142857142857,0.09183673469387754,0.0012244897959183673,1
59,OLS,0.030612244897959183,0.12244897959183673,0.053469387755102044,0.06857142857142857,0.09183673469387754,0.015102040816326531,1
59,LASSO,0.030612244897959183,0.12244897959183673,0.0012244897959183673,0.005306122448979592,0.09183673469387754,0.004081632653061225,1
60,OLS,0.030612244897959183,0.12244897959183673,0.061632653061224486,0.06816326530612245,0.09183673469387754,0.006530612244897961,1
60,LASSO,0.030612244897959183,0.12244897959183673,0.0024489795918367346,0.002857142857142857,0.09183673469387754,0.00040816326530612257,1
61,OLS,0.030612244897959183,0.12244897959183673,0.052244897959183675,0.07673469387755102,0.09183673469387754,0.02448979591836735,1
61,LASSO,0.030612244897959183,0.12244897959183673,0.00040816326530612246,0.006530612244897959,0.09183673469387754,0.006122448979591837,1
62,OLS,0.030612244897959183,0.12244897959183673,0.044897959183673466,0.07061224489795918,0.09183673469387754,0.025714285714285717,1
62,LASSO,0.030612244897959183,0.12244897959183673,0.0016326530612244899,0.004081632653061225,0.09183673469387754,0.002448979591836735,1
63,OLS,0.030612244897959183,0.12244897959183673,0.043673469387755105,0.07551020408163266,0.09183673469387754,0.03183673469387755,1
63,LASSO,0.030612244897959183,0.12244897959183673,0.0032653061224489797,0.003673469387755102,0.09183673469387754,0.00040816326530612214,1
