formation_date,pred_start,pred_end,mean_te,max_te,p75_te,density,n_stocks
2022-06-07,2022-06-08,2022-06-14,2.4235721284241556e-06,4.433354094977292e-05,3.1096179818835178e-06,0.2475,100
2022-06-14,2022-06-15,2022-06-22,2.6111296698474876e-06,4.603016212633316e-05,3.4248383965234204e-06,0.2475,100
2022-06-22,2022-06-23,2022-06-29,2.6133149964890868e-06,4.975226669930164e-05,3.5659509741565097e-06,0.2475,100
2022-06-29,2022-06-30,2022-07-07,2.6933346204113377e-06,5.4864625158452066e-05,3.6766279691187085e-06,0.2475,100
2022-07-07,2022-07-08,2022-07-14,2.8137573386103047e-06,5.7035734257576505e-05,3.7458662926301325e-06,0.24752576267727783,99
2022-07-14,2022-07-15,2022-07-21,2.8575168425438503e-06,6.435480319231866e-05,3.845504823731131e-06,0.24752576267727783,99
2022-07-21,2022-07-22,2022-07-28,2.8948066881868846e-06,6.668429340405557e-05,3.8108162443142162e-06,0.24752576267727783,99
2022-07-28,2022-07-29,2022-08-04,2.6863578795830573e-06,7.095373084481786e-05,3.578330023352179e-06,0.24752576267727783,99
2022-08-04,2022-08-05,2022-08-11,2.7401375208007896e-06,6.758278941925707e-05,3.7161777751096387e-06,0.2475,100
2022-08-11,2022-08-12,2022-08-18,2.8933309265857848e-06,6.167943500538428e-05,3.85707546635577e-06,0.2475,100
2022-08-18,2022-08-19,2022-08-25,2.819026636618531e-06,4.422135373729732e-05,3.828444248585384e-06,0.2475,100
2022-08-25,2022-08-26,2022-09-01,2.7825942367071756e-06,4.3360612264882706e-05,3.824451534346928e-06,0.2475,100
2022-09-01,2022-09-02,2022-09-09,2.59512029257511e-06,4.059416344629749e-05,3.508109627982852e-06,0.2475,100
2022-09-09,2022-09-12,2022-09-16,2.638243375718661e-06,4.4086078231417754e-05,3.5237380062975418e-06,0.2475,100
2022-09-16,2022-09-19,2022-09-23,2.6125139566399073e-06,4.5644559364208895e-05,3.551430287082219e-06,0.2475,100
2022-09-23,2022-09-26,2022-09-30,2.496351243676819e-06,4.117451555259036e-05,3.286115094189645e-06,0.2475,100
2022-09-30,2022-10-03,2022-10-07,2.442488167084881e-06,3.754908041670256e-05,3.211701071804467e-06,0.2475,100
2022-10-07,2022-10-10,2022-10-14,2.4897586690796607e-06,3.7832152685428516e-05,3.2208631608332756e-06,0.2475,100
2022-10-14,2022-10-17,2022-10-21,2.5045488058972406e-06,4.00372278259612e-05,3.315051578370426e-06,0.2475,100
2022-10-21,2022-10-24,2022-10-28,2.439933779062708e-06,3.9985136260575574e-05,3.2349259269637485e-06,0.2475,100
2022-10-28,2022-10-31,2022-11-04,2.6646022027499503e-06,7.187242367596217e-05,3.542566756398036e-06,0.2475,100
2022-11-04,2022-11-07,2022-11-11,2.7277753700220455e-06,7.747949232560592e-05,3.6984883001587714e-06,0.2475,100
2022-11-11,2022-11-14,2022-11-18,2.570892250557677e-06,7.329674773375768e-05,3.3835074994188418e-06,0.2475,100
2022-11-18,2022-11-21,2022-11-28,2.4970534290043395e-06,7.038160719538648e-05,3.2789976581184144e-06,0.2475,100
2022-11-28,2022-11-29,2022-12-05,2.604372703252552e-06,6.719381974137646e-05,3.385594713265062e-06,0.2475,100
2022-12-05,2022-12-06,2022-12-12,2.633602551268699e-06,4.5377691939740886e-05,3.4326692226674104e-06,0.2475,100
2022-12-12,2022-12-13,2022-12-19,2.6784584252374955e-06,4.2751687709802744e-05,3.502362139519934e-06,0.24752576267727783,99
2022-12-19,2022-12-20,2022-12-27,2.524079935824147e-06,4.141330256666638e-05,3.2616015450991882e-06,0.24752576267727783,99
2022-12-27,2022-12-28,2023-01-04,2.508238793543538e-06,4.0692166135366494e-05,3.2837738278505213e-06,0.24752576267727783,99
2023-01-04,2023-01-05,2023-01-11,2.5222996774961216e-06,3.943529649731482e-05,3.405758197318921e-06,0.2475,100
2023-01-11,2023-01-12,2023-01-19,2.603892807820308e-06,4.348165849125052e-05,3.4610329395632546e-06,0.2475,100
2023-01-19,2023-01-20,2023-01-26,2.5092985553136197e-06,5.0639195445851094e-05,3.307015684829853e-06,0.2475,100
2023-01-26,2023-01-27,2023-02-02,2.457352623222538e-06,3.7651759596807636e-05,3.247595660020139e-06,0.2475,100
2023-02-02,2023-02-03,2023-02-09,2.452857239456754e-06,2.9878796224800937e-05,3.3605151899831327e-06,0.2475,100
2023-02-09,2023-02-10,2023-02-16,2.421963349798191e-06,2.97591982722959e-05,3.270249433120005e-06,0.2475,100
2023-02-16,2023-02-17,2023-02-24,2.4824065798329485e-06,3.3538987525316725e-05,3.39562792411878e-06,0.2475,100
2023-02-24,2023-02-27,2023-03-03,2.4968733299087095e-06,3.507901566777326e-05,3.3357885082964265e-06,0.2475,100
2023-03-03,2023-03-06,2023-03-10,2.493879164932982e-06,4.188326371044326e-05,3.4020817882878455e-06,0.2475,100
2023-03-10,2023-03-13,2023-03-17,2.484180063500513e-06,4.9255763172564256e-05,3.306366455670298e-06,0.2475,100
2023-03-17,2023-03-20,2023-03-24,2.4226140363612663e-06,4.7454523513764027e-05,3.27050617970234e-06,0.2475,100
2023-03-24,2023-03-27,2023-03-31,2.4597768172442714e-06,4.256462260355221e-05,3.349136194424525e-06,0.2475,100
2023-03-31,2023-04-03,2023-04-10,2.431307987669546e-06,3.9355825269660456e-05,3.2821435853081086e-06,0.2475,100
2023-04-10,2023-04-11,2023-04-17,2.3678384982337266e-06,3.728394611603581e-05,3.1554344726035868e-06,0.2475,100
2023-04-17,2023-04-18,2023-04-24,2.3610532262630483e-06,3.558411181741855e-05,3.1024363645607683e-06,0.2475,100
2023-04-24,2023-04-25,2023-05-01,2.31403762241375e-06,3.743584510055254e-05,3.058905863242179e-06,0.2475,100
2023-05-01,2023-05-02,2023-05-08,2.3721107147261264e-06,4.065879122644342e-05,3.176669941865299e-06,0.2475,100
2023-05-08,2023-05-09,2023-05-15,2.2854242852135506e-06,4.598479132588827e-05,3.0231325614088363e-06,0.2475,100
2023-05-15,2023-05-16,2023-05-22,2.3112673003125363e-06,4.281886349158282e-05,3.111873399959664e-06,0.2475,100
2023-05-22,2023-05-23,2023-05-30,2.2865854811420597e-06,4.596039205669661e-05,3.090159124787832e-06,0.2475,100
2023-05-30,2023-05-31,2023-06-06,2.390374481597211e-06,5.23058731580746e-05,3.1240220112140774e-06,0.2475,100
2023-06-06,2023-06-07,2023-06-13,2.3962180999520364e-06,5.821322742136286e-05,3.1509158070594186e-06,0.2475,100
2023-06-13,2023-06-14,2023-06-21,2.54685844484839e-06,6.0061689528665156e-05,3.2976324759595644e-06,0.2475,100
2023-06-21,2023-06-22,2023-06-28,2.429439893149777e-06,5.972478592562499e-05,3.2188996861842175e-06,0.2475,100
2023-06-28,2023-06-29,2023-07-06,2.451851207682477e-06,5.37096544865229e-05,3.2485674100764844e-06,0.2475,100
2023-07-06,2023-07-07,2023-07-13,2.465011128582924e-06,4.7723006617684384e-05,3.2780263267564654e-06,0.2475,100
2023-07-13,2023-07-14,2023-07-20,2.4998446900888905e-06,4.623471876008405e-05,3.3197088226916623e-06,0.2475,100
2023-07-20,2023-07-21,2023-07-27,2.4798782498983555e-06,4.759226107337245e-05,3.2982565709516174e-06,0.2475,100
2023-07-27,2023-07-28,2023-08-03,2.6326785760162084e-06,5.259492611852502e-05,3.542891311665144e-06,0.2475,100
2023-08-03,2023-08-04,2023-08-10,2.484313481343993e-06,5.402690232498781e-05,3.332589498943073e-06,0.2475,100
